country_code,Country Name,year,disbursement_amount,cancer,air_pollution_death,basic_sanitation,drinking_water,hand_wash,fuel_tech,crude_suicide,dentists,tuberculosis,doctors,poisoning,unsafe_wash,nursing,tobacco,UHC_coverage,life_expectancy,UHC_data_access,population
MWI,Malawi,2016,6939510,16.4,6.99,25.9,64.36,9.18,5,3.6,0.07,176,0.17,2.49,28.29,2.99,13.8,43,66.47,0.43,17205289
NAM,Namibia,2015,1715210,21.6,9.4,33.9,68.89,43.86,44,9,2.26,639,3.64,1.65,18.32,18.86,18.6,61,66.22,0.36,2314904
NAM,Namibia,2016,9718731,21.3,9.4,34.21,69.05,44.24,45,9,2.26,604,3.64,1.56,18.32,20.42,18.3,61,66.22,0.36,2358041
NER,Niger,2015,46672,20.2,92.34,12.75,41.6,47.93,5,4.7,0.015,95,0.47,5.36,70.81,2.04,8.4,35,62.86,0.43,20001663
NER,Niger,2016,44062,20,92.34,13.16,42.62,47.93,5,4.7,0.009,93,0.43,5.28,70.81,2.7,8.4,35,62.86,0.43,20788838
NGA,Nigeria,2010,5000,22.9,9.77,34.31,46.96,47.93,5,10,0.53,219,3.64,4.66,14,13.57,5.7,35,60.79,0.49,158503197
NPL,Nepal,2015,68230,22.2,8.23,55.74,87.48,49.79,27,9.1,2.26,268,3.64,0.59,19.83,11,35.7,51,71.39,0.49,27015031
NPL,Nepal,2016,1527,21.8,8.23,58.87,88.11,48.79,28,9.1,2.26,260,3.64,0.56,19.83,11,34.3,51,71.39,0.49,27261131
PNG,Papua New Guinea,2015,143135,29.9,9.98,14.13,33.38,47.93,7,6,2.26,432,3.64,2.78,16.31,11,21.65,41,66.54,0.26,8107775
PNG,Papua New Guinea,2016,1271754,30,9.98,13.54,34,47.93,8,6,2.26,432,3.64,2.62,16.31,11,21.65,41,66.54,0.26,8271760
SEN,Senegal,2016,2251540,18.1,74.3,50.78,68.52,24,26,3,0.081,122,0.71,2.99,23.87,3,9.5,40,66.54,0.56,14993528
SLE,Sierra Leone,2015,209468,30,9.77,14.94,46.9,17.5,5,9.3,2.26,307,3.64,5.26,14,3,21.8,36,57.93,0.43,7171914
SWZ,Eswatini,2015,1137213,26.6,9.77,57.87,59.37,24,48,13.1,2.26,648,3.64,3.41,14,36.01,10.8,60,58.71,0.4,1104044
TJK,Tajikistan,2016,142550,25.3,70.49,96.58,73.66,72.65,78,3,2.26,85,3.64,1.42,2.7,3,21.65,40,70,0.34,8663579
TON,Tonga,2015,822884,23.5,9.77,93.45,99.77,47.93,52,3.5,2.26,16,3.64,1.53,14,3,30.6,56,75.54,0.17,100781
VUT,Vanuatu,2015,2495449,23.7,75.76,38.13,86.98,25.15,9,4.5,2.26,63,1.65,1.34,10.42,2,25.1,49,67.68,0.26,271130
VUT,Vanuatu,2016,2465942,23.3,75.76,36.09,87.79,25.18,9,4.5,2.26,56,1.65,1.32,10.42,2,24.8,49,67.68,0.26,278330
